0.03189 -0.18121 0.0232 10.33392 14.63822 1.73173 -0.37974 -0.24068 1.51683
0.03762 -0.17229 0.01347 10.62742 -19.55826 13.19269 -0.37974 -0.24068 1.51683
0.22082 -0.14324 -0.0285 6.11434 -5.83957 12.60676 -0.37974 -0.24068 1.51683
0.18418 -0.1122 0.03732 13.86548 -7.35989 16.93927 -0.37974 -0.24068 1.51683
-0.015 -0.10554 -0.03729 13.18708 -19.55826 2.7018 -0.37974 -0.24068 1.51683
-0.01114 0.19983 -0.01038 10.79822 -8.2907 10.91947 -0.37974 -0.24068 1.51683
-0.07509 0.04635 -0.00531 6.69411 -7.13554 10.87084 -0.37974 -0.24068 1.51683
-0.18354 0.0678 -0.01437 -2.02653 4.80267 2.06967 -0.37974 -0.24068 1.51683
0.01631 0.25752 -0.0233 12.76608 -4.39085 20.38376 -0.37974 -0.24068 1.51683
0.09331 -0.09821 -0.0265 2.85703 -4.01375 4.17758 -0.37974 -0.24068 1.51683
-0.02673 -0.03746 0.08342 6.27552 -19.55826 -0.35915 -0.37974 -0.24068 1.51683
0.16313 -0.16869 -0.00638 12.61212 -19.55826 11.91871 -0.37974 -0.24068 1.51683
0.21829 -0.18601 -0.01477 -0.80444 4.19407 11.9722 -0.37974 -0.24068 1.51683
0.05841 -0.02573 0.02972 12.06843 -4.55315 15.41487 -0.37974 -0.24068 1.51683
0.12236 0.04421 -0.01104 5.41669 -17.74199 9.93967 -0.37974 -0.24068 1.51683
0.2035 0.15426 0.05424 8.32517 -12.33853 17.29423 -0.37974 -0.24068 1.51683
-0.00807 -0.08742 -0.0205 7.64195 -5.9064 7.36739 -0.37974 -0.24068 1.51683
-0.08215 0.1043 -0.03702 -0.5783 5.87191 8.04328 -0.37974 -0.24068 1.51683
-0.02233 0.12242 -0.00998 10.09817 -18.28616 15.84763 -0.37974 -0.24068 1.51683
-0.12385 -0.25942 -0.01477 6.54496 -19.55826 2.63859 -0.37974 -0.24068 1.51683
-0.09507 -0.26275 -0.01571 3.76638 -19.55826 14.0096 -0.37974 -0.24068 1.51683
-0.05391 -0.32364 -0.12629 -1.56223 -19.55826 6.0302 -0.37974 -0.24068 1.51683
-0.25802 -0.06277 -0.0253 9.1383 -17.60833 2.14261 -0.37974 -0.24068 1.51683
-0.10747 0.07179 -0.00571 10.69959 -19.55826 16.50407 -0.37974 -0.24068 1.51683
0.24999 0.0666 -0.04462 0.00147 2.97447 10.59367 -0.37974 -0.24068 1.51683
0.19644 0.1063 0.01134 17.11558 -5.10925 16.65481 -0.37974 -0.24068 1.51683
0.01444 0.0642 -0.05314 19.75643 -12.54856 12.17156 -0.37974 -0.24068 1.51683
0.07053 0.21435 0.01094 7.43747 11.59758 12.83287 -0.37974 -0.24068 1.51683
-0.0675 -0.05771 -0.01278 -16.91537 1.12479 12.37822 -0.37974 -0.24068 1.51683
-0.22111 -0.02373 -0.07673 -18.39968 -2.84428 6.33168 -0.37974 -0.24068 1.51683
-0.05497 0.2394 -0.0626 19.75643 -19.55826 16.88578 -0.37974 -0.24068 1.51683
-0.04804 -0.17056 -0.06687 16.62241 -6.51023 -2.69073 -0.37974 -0.24068 1.51683
